network_id,spec_key,scope,profile,canonical_label,sources,edges,mean_source_accuracy,exposure_weighted_accuracy,source_hhi,mean_pair_source_overlap,mean_pair_agreement,private_discovery
C483,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0011;5-6@1101,3,6,1/2,7/12,7/18,2/3,16/27,145/162
C484,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0011;5-6@1110,3,6,1/2,7/12,7/18,2/3,7/12,97/108
C485,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0011;5-6@1111,3,7,1/2,13/21,3/7,7/6,19/27,95/108
C486,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0110;5-6@1000,3,4,1/2,11/24,3/8,1/6,4/9,25/27
C487,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0110;5-6@1001,3,5,1/2,8/15,9/25,1/3,1/2,49/54
C488,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0110;5-6@1010,3,5,1/2,8/15,9/25,1/3,4/9,25/27
C489,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0110;5-6@1011,3,6,1/2,7/12,7/18,2/3,19/36,49/54
C490,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0110;5-6@1110,3,6,1/2,7/12,7/18,2/3,1/2,11/12
C491,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0110;5-6@1111,3,7,1/2,13/21,3/7,7/6,11/18,43/48
C492,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0111;5-6@1000,3,5,1/2,13/30,11/25,1/2,5/9,49/54
C493,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0111;5-6@1001,3,6,1/2,1/2,7/18,2/3,16/27,145/162
C494,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0111;5-6@1010,3,6,1/2,1/2,7/18,2/3,19/36,49/54
C495,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0111;5-6@1011,3,7,1/2,23/42,19/49,1,16/27,145/162
C496,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0111;5-6@1110,3,7,1/2,23/42,19/49,1,5/9,65/72
C497,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0111;5-6@1111,3,8,1/2,7/12,13/32,3/2,35/54,575/648
C498,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@0001,3,5,1/2,13/30,11/25,1/2,2/3,13/18
C499,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@0010,3,5,1/2,13/30,11/25,1/2,5/9,20/27
C500,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@0011,3,6,1/2,1/2,7/18,2/3,7/12,22/27
C501,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@0110,3,6,1/2,1/2,7/18,2/3,1/2,5/6
C502,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@0111,3,7,1/2,23/42,19/49,1,5/9,31/36
C503,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@1110,3,7,1/2,23/42,19/49,1,1/2,7/8
C504,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1110;5-6@1111,3,8,1/2,7/12,13/32,3/2,7/12,253/288
C505,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@0001,3,6,1/2,5/12,1/2,1,22/27,95/162
C506,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@0010,3,6,1/2,5/12,1/2,1,25/36,73/108
C507,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@0011,3,7,1/2,10/21,3/7,7/6,19/27,20/27
C508,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@0110,3,7,1/2,10/21,3/7,7/6,11/18,19/24
C509,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@0111,3,8,1/2,25/48,13/32,3/2,35/54,265/324
C510,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@1110,3,8,1/2,25/48,13/32,3/2,7/12,61/72
C511,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@1111;5-6@1111,3,9,1/2,5/9,11/27,2,35/54,1105/1296
C512,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0001;5-6@1110,3,5,2/3,11/15,11/25,1/2,73/96,67/72
