agents,private_accuracy,shared_accuracy,private_dominant,public_dominant,contrarian,discovery,action_quality,expected_distinct_actions,weak_equilibrium,strict_equilibrium,planner_optimal
3,2/3,3/4,2,1,0,35/36,25/36,253/144,True,True,True
3,2/3,3/4,3,0,0,26/27,2/3,65/36,False,False,False
3,2/3,5/6,0,0,3,377/432,7/12,65/36,False,False,False
3,2/3,5/6,0,1,2,191/216,2/3,41/24,False,False,False
3,2/3,5/6,0,2,1,31/36,3/4,17/12,False,False,False
3,2/3,5/6,0,3,0,5/6,5/6,1,False,False,False
3,2/3,5/6,1,0,2,67/72,11/18,89/48,False,False,False
3,2/3,5/6,1,1,1,103/108,25/36,7/4,False,False,False
3,2/3,5/6,1,2,0,17/18,7/9,17/12,True,True,False
3,2/3,5/6,2,0,1,103/108,23/36,89/48,False,False,False
3,2/3,5/6,2,1,0,53/54,13/18,41/24,False,False,True
3,2/3,5/6,3,0,0,26/27,2/3,65/36,False,False,False
3,3/4,1/3,0,0,3,421/768,1/3,421/256,False,False,False
3,3/4,1/3,0,1,2,47/96,1/3,31/16,False,False,False
3,3/4,1/3,0,2,1,5/12,1/3,5/3,False,False,False
3,3/4,1/3,0,3,0,1/3,1/3,1,False,False,False
3,3/4,1/3,1,0,2,111/128,17/36,31/16,False,False,False
3,3/4,1/3,1,1,1,41/48,17/36,211/96,False,False,False
3,3/4,1/3,1,2,0,5/6,17/36,5/3,False,False,False
3,3/4,1/3,2,0,1,23/24,11/18,31/16,False,False,False
3,3/4,1/3,2,1,0,23/24,11/18,31/16,False,False,False
3,3/4,1/3,3,0,0,63/64,3/4,421/256,True,True,True
3,3/4,1/2,0,0,3,673/1024,7/16,421/256,False,False,False
3,3/4,1/2,0,1,2,79/128,11/24,233/128,False,False,False
3,3/4,1/2,0,2,1,9/16,23/48,25/16,False,False,False
3,3/4,1/2,0,3,0,1/2,1/2,1,False,False,False
3,3/4,1/2,1,0,2,459/512,13/24,1909/1024,False,False,False
3,3/4,1/2,1,1,1,57/64,9/16,129/64,False,False,False
3,3/4,1/2,1,2,0,7/8,7/12,25/16,False,False,False
3,3/4,1/2,2,0,1,247/256,31/48,1909/1024,False,False,False
3,3/4,1/2,2,1,0,31/32,2/3,233/128,False,False,False
3,3/4,1/2,3,0,0,63/64,3/4,421/256,True,True,True
3,3/4,2/3,0,0,3,1177/1536,13/24,421/256,False,False,False
3,3/4,2/3,0,1,2,143/192,7/12,109/64,False,False,False
3,3/4,2/3,0,2,1,17/24,5/8,35/24,False,False,False
3,3/4,2/3,0,3,0,2/3,2/3,1,False,False,False
3,3/4,2/3,1,0,2,237/256,11/18,917/512,False,False,False
3,3/4,2/3,1,1,1,89/96,47/72,11/6,False,False,False
3,3/4,2/3,1,2,0,11/12,25/36,35/24,False,False,False
3,3/4,2/3,2,0,1,373/384,49/72,917/512,False,False,False
3,3/4,2/3,2,1,0,47/48,13/18,109/64,False,False,False
3,3/4,2/3,3,0,0,63/64,3/4,421/256,True,True,True
3,3/4,3/4,0,0,3,1681/2048,19/32,421/256,False,False,False
3,3/4,3/4,0,1,2,207/256,31/48,421/256,False,False,False
3,3/4,3/4,0,2,1,25/32,67/96,45/32,False,False,False
3,3/4,3/4,0,3,0,3/4,3/4,1,False,False,False
3,3/4,3/4,1,0,2,963/1024,31/48,3593/2048,False,False,False
3,3/4,3/4,1,1,1,121/128,67/96,223/128,False,False,False
3,3/4,3/4,1,2,0,15/16,3/4,45/32,False,False,False
